,owner,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,altitude_mean_meters
714,bourbon specialty coffees,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.42,82.33,1000
715,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,7.42,82.33,1676
716,afca,Malawi,Gesha,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,7.58,82.33,1450
717,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,82.33,1100
718,juan luis alvarado romero,Guatemala,Pacas,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,7.42,82.33,1524
719,dane loraas,Mexico,unknown,Washed / Wet,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.33,1250
720,the coffee source inc.,Colombia,Caturra,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,7.5,82.33,1300
721,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,200
722,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.33,600
723,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.25,82.33,1310
724,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.33,82.33,1750
725,alfredo bojalil,Mexico,Typica,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.33,1300
726,michael gavina,Costa Rica,unknown,Washed / Wet,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10.0,7.67,82.33,1300
727,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.33,82.33,1752
728,saul m. hernandez ramirez,Mexico,Typica,Natural / Dry,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,82.33,1250
729,manuel herrera juarez,Mexico,Bourbon,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.0,82.33,1170
730,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.5,82.33,1310
731,nucoffee,Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,1100
732,maria luisa del carmen rojas narvaez,Mexico,Typica,Washed / Wet,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,7.83,82.33,1300
733,nucoffee,Brazil,Mundo Novo,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.33,950
734,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,7.33,82.33,1750
735,klem organics,Brazil,Catuai,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,7.5,82.25,1100
736,cqi taiwan icp cqi台灣合作夥伴,Taiwan,unknown,unknown,7.0,7.08,7.0,7.17,7.0,7.0,10.0,10.0,10.0,10.0,82.25,750
737,juan luis alvarado romero,Guatemala,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,82.25,1450
738,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,7.67,82.25,1000
739,consejo salvadoreño del café,El Salvador,Bourbon,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,1500
740,cadexsa,Honduras,Catuai,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.33,82.25,1350
741,afca,Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,7.42,82.25,1180
742,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,82.25,1100
743,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.25,82.25,650
744,jesus carlos cardenas valdivia,Mexico,Mundo Novo,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,7.42,82.25,1338
745,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.42,82.25,518
746,saul m. hernandez ramirez,Mexico,Bourbon,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,82.25,1250
747,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,82.25,1390
748,manuel herrera juarez,Mexico,Bourbon,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,82.25,1170
749,guillermo rojas saldana,Mexico,Typica,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,82.25,1250
750,adam kline,El Salvador,Other,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.33,82.25,1350
751,sergio de la vequia bernardi,Mexico,Typica,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,82.25,1100
752,organizaciones de productores de cafe colimense,Mexico,Typica,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.25,900
753,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,82.25,1750
754,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,7.58,82.25,1775
755,nucoffee,Brazil,Arusha,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,7.5,82.25,1000
756,racafe & cia s.c.a,Colombia,unknown,unknown,7.17,7.25,7.58,7.25,7.58,7.67,10.0,10.0,10.0,7.75,82.25,1750
757,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,82.17,934
758,bismarck castro,Honduras,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.17,1500
759,"bencafe, s. a.",Nicaragua,unknown,unknown,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,82.17,1000
760,langiro farm group,Tanzania,Bourbon,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,82.17,1650
761,ibero coffee trading co (t) ltd,Tanzania,Other,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,7.58,82.17,1600
762,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,7.58,82.17,1000
763,doi tung development project,Thailand,unknown,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10.0,10.0,10.0,7.5,82.17,800
764,cadexsa,Honduras,Catuai,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,7.33,82.17,1350
765,essencecoffee,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.42,82.17,1500
766,bourbon specialty coffees,Brazil,Mundo Novo,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,7.5,82.17,1000
767,tembo coffee company ltd,Tanzania,Other,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,7.25,82.17,1700
768,j.andrade,Mexico,Other,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,7.33,82.17,1100
769,lusso lab,Mexico,Other,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,82.17,1400
770,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.17,82.17,1200
771,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,7.58,82.17,800
772,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,7.5,82.17,1750
773,saul m. hernandez ramirez,Mexico,Typica,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.17,1144
774,the coffee source inc.,Guatemala,Caturra,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,7.17,82.17,1350
775,salvador caro carrion,Mexico,Typica,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,82.17,1000
776,organizaciones de productores de cafe colimense,Mexico,Typica,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,82.17,1200
777,exportadora de cafe condor s.a,Colombia,unknown,unknown,7.58,7.67,7.42,7.17,7.17,7.75,10.0,10.0,10.0,7.42,82.17,1800
778,sanjava coffee,Indonesia,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.33,82.08,1300
779,raúl vargas,Colombia,Caturra,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,7.58,82.08,1750
780,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.5,82.08,894
781,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,7.25,82.08,1000
782,"cafetalera internacional cafinter, s.a.",Costa Rica,Caturra,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,7.67,82.08,1300
783,balam hinyula,Tanzania,Bourbon,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.42,82.08,1500
784,ngorogoro convenant estate,Tanzania,Other,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,7.5,82.08,1600
785,cafe politico,Colombia,unknown,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.25,82.08,1750
786,"ceca, s.a.",Costa Rica,Caturra,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.33,82.08,1300
787,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,7.5,82.08,518
788,"el equimite, cafetal biodinámico",Mexico,Typica,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,7.42,82.08,1300
789,julio perez hernandez,Mexico,Typica,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,82.08,1800
790,rosa aurora falcon fernandez,Mexico,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,82.08,1250
791,royal base corporation,Vietnam,Other,Natural / Dry,7.67,8.0,7.17,7.08,7.67,7.08,10.0,10.0,10.0,7.42,82.08,1040
792,sergio de la vequia bernardi,Mexico,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,82.08,1250
793,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,7.42,82.08,518
794,carcafe ltda ci,Colombia,unknown,unknown,7.67,7.42,7.67,7.33,7.25,7.58,10.0,10.0,10.0,7.17,82.08,1600
795,bismarck castro,Honduras,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,1600
796,bismarck castro,Honduras,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82.0,1600
797,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,82.0,944
798,didas,Tanzania,Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.42,82.0,1650
799,minwook ku,Laos,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,7.5,82.0,1250
800,finca estate,Tanzania,Other,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.5,82.0,1350
801,afca,Malawi,Gesha,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.33,82.0,2500
802,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.75,82.0,600
803,doi tung development project,Thailand,unknown,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10.0,10.0,10.0,7.33,82.0,800
804,eric thormaehlen,Costa Rica,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,82.0,1300
805,beneficio santa rosa,Honduras,Caturra,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,7.17,82.0,1400
806,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.17,82.0,1900
807,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,7.42,82.0,650
808,owen carver,Brazil,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82.0,1038
809,jorge octavio escamilla prado,Mexico,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,7.42,82.0,940
810,nucoffee,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,82.0,1000
811,nucoffee,Brazil,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,1050
812,juan luis alvarado romero,Guatemala,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,7.17,82.0,1395
813,nucoffee,Brazil,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,82.0,950
814,felipe isaza,Guatemala,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,7.42,82.0,1402
815,racafe & cia s.c.a,Colombia,Caturra,unknown,7.33,7.0,7.08,7.42,7.5,7.67,10.0,10.0,10.0,8.0,82.0,1775
816,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,81.92,1901
817,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,81.92,1219
818,bismarck castro,Honduras,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,81.92,1400
819,gabriel barbara,Brazil,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,81.92,1020
820,consejo salvadoreño del café,El Salvador,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,7.33,81.92,1250
821,juan luis alvarado romero,Guatemala,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,7.25,81.92,1550
822,mcomafa co ltd,Tanzania,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,7.42,81.92,1877
823,chris finch,Nicaragua,unknown,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,7.33,81.92,1100
824,lusso lab,Zambia,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,81.92,1250
825,rob tuttle,Honduras,unknown,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.42,81.92,1400
826,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,7.25,81.92,1000
827,calixto guillen vazquez,Mexico,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,81.92,1300
828,saul m. hernandez ramirez,Mexico,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,81.92,981
829,saul m. hernandez ramirez,Mexico,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,81.92,1250
830,juan hermilio sampieri carcamo,Mexico,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,7.5,81.92,1650
831,modesto landeros flores,Mexico,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,81.92,1000
832,nucoffee,Brazil,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,81.92,1100
833,exportadora de cafe condor s.a,Colombia,unknown,unknown,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.92,1600
834,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,81.83,1395
835,troy quimby,Costa Rica,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,81.83,1900
836,gabriel barbara,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,973
837,aulia arif syahri,Indonesia,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,81.83,1250
838,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,81.83,1395
839,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,7.75,81.83,1000
840,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.58,7.0,6.92,6.92,7.67,7.5,10.0,10.0,10.0,8.25,81.83,1000
841,u mg mg,Myanmar,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,7.33,81.83,914
842,viridiana,Mexico,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,81.83,1425
843,cadexsa,Honduras,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,1400
844,"cafetalera internacional cafinter, s.a.",Costa Rica,Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,7.42,81.83,1300
845,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,81.83,700
846,essencecoffee,Indonesia,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,81.83,1300
847,afca,Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.42,81.83,1556
848,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,81.83,1100
849,unknown,Honduras,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.5,81.83,1350
850,kurt kappeli,Mexico,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,81.83,1550
851,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,7.33,81.83,1775
852,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8.0,7.83,7.83,10.0,6.67,10.0,8.0,81.83,518
853,jacques pereira carneiro,Brazil,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,1250
854,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,7.5,81.83,1310
855,christina dusing,Mexico,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,7.25,81.83,1500
856,jorge francisco martinez hachity,Mexico,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,7.42,81.83,1250
857,nucoffee,Brazil,Mundo Novo,unknown,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.33,81.83,925
858,exportadora de cafe condor s.a,Colombia,unknown,unknown,7.58,7.5,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.83,1700
859,kona pacific farmers cooperative,Hawaii,unknown,unknown,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10.0,7.33,81.83,518
860,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.75,1700
861,"sunvirtue co., ltd.",Vietnam,Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,8.0,81.75,1040
862,ngorogoro convenant estate,Tanzania,Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,81.75,1600
863,cafe politico,Brazil,unknown,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,7.25,81.75,1000
864,saul m. hernandez ramirez,Mexico,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,7.5,81.75,1250
865,sergio landa alarcon,Mexico,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.25,81.75,1250
866,diego manuel woolrich ramirez,Mexico,Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.25,81.75,1100
867,armando luis pohlenz martinez,Mexico,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,7.33,81.75,1550
868,enrique eduardo lopez aguilar,Mexico,Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,7.33,81.75,1650
869,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.17,81.75,1750
870,racafe & cia s.c.a,Colombia,unknown,unknown,7.42,7.58,6.92,7.08,7.25,8.0,10.0,10.0,10.0,7.5,81.75,1775
871,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.25,81.67,890
872,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,1700
873,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.33,81.67,1219
874,cadexsa,Honduras,Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,81.67,1450
875,taylor winch (coffee) ltd.,Tanzania,unknown,unknown,7.17,7.33,7.33,7.42,7.5,7.33,10.0,10.0,10.0,7.58,81.67,1800
876,"comercial internacional exportadora, s.a.",Nicaragua,unknown,unknown,7.58,7.5,7.25,7.25,7.5,7.25,10.0,10.0,10.0,7.33,81.67,1100
877,racafe & cia s.c.a,Colombia,unknown,unknown,7.75,7.75,7.75,7.67,5.25,7.83,10.0,10.0,10.0,7.67,81.67,1750
878,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10.0,10.0,10.0,7.25,81.67,1000
879,dae ltd company,Tanzania,Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,7.33,81.67,1500
880,tembo coffee company ltd,Tanzania,Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,81.67,1700
881,ipanema coffees,Brazil,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,81.67,1260
882,chris finch,Indonesia,Sumatra,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,7.58,81.67,1350
883,unknown,Honduras,Caturra,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10.0,10.0,10.0,7.5,81.67,1400
884,"ceca, s.a.",Costa Rica,Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,8.08,81.67,1850
885,dane loraas,Mexico,unknown,Washed / Wet,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,7.42,81.67,1250
886,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,7.25,81.67,150
887,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,81.67,750
888,fredy gordillo reyes,Mexico,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,7.42,81.67,1400
889,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.17,81.67,1752
890,virginia gordillo gordillo,Mexico,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,7.58,81.67,1650
891,jose luis munoz guerrero,Mexico,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,7.08,81.67,1400
